Ссылка,Наименование,Цена,Рейтинг пользователей,Описание продукта,Инструкция по применению,Cтрана-производитель
https://goldapple.ru/19000152687-flora-bloom,FLORA BLOOM,900,4.3,"Насыщенный и пьянящий аромат LE PARFUM FRANCAIS – это пышный букет цветов, в котором собраны роза, ирис, жасмин и лилия. <br/>Изысканную, но при этом чувственную композицию украшает фруктовая свежесть грейпфрута и черной смородины. <br/>Пачули, бобы тонка и лёгкая сладость ванили гармонично дополняют женственный цветочный аромат.",,Франция
https://goldapple.ru/19000186237-sugar,SUGAR,11135,,,,Франция
https://goldapple.ru/19000225181-musc-ambre-gris,MUSC-AMBRE GRIS,12082,,"Притягательный аромат AFFINESSENCE из коллекции Notes de Fond (или Base Notes collection) раскрывает уникальные свойства ценной серой амбры, излучающей чувственное тепло и минеральную свежесть. <br><br>

Силу непреодолимого притяжения приумножают ноты черного мускуса и белого трюфеля, подчеркивающие эффект контраста «горячего и холодного» в композиции. <br>
Пачули, гаитянский ветивер и аккорд мате дополняют мощную, богатую энергию этого глубокого, эффектного аромата, который хочется вдыхать снова и снова. <br><br>

Парфюмеры – Henri Bergia и Sophie Bruneau.",Только для наружного применения.,Франция
https://goldapple.ru/19000186239-niravana,NIRVANA,9265,,,,Франция
https://goldapple.ru/19000215579-coconut-cocktail-eau-de-toilette,Coconut cocktail eau de toilette,2016,,"В изысканный набор tutti délices входят туалетная вода COCONUT COCKTAIL (50 мл), её миниатюра (15 мл) и шипучая бомбочка для ванны (1 шт).<br> Аромат COCONUT COCKTAIL – это освежающий, нежный и сладкий кокосовый коктейль. Фруктово-гурманская композиция с намеком на молочные ноты окутывает нежностью и пробуждает приятные воспоминания. <br>
Легкий, напоминающий об отдыхе кокос в сочетании с мускусом, смягчающим десертную сладость ванили и сахара, способен очаровать и вызвать привыкание не только у сладкоежек.","Туалетная вода: только для наружного применения. Распылите на кожу с небольшого расстояния. <br>
Бомбочка для ванны: наберите теплую ванну и опустите в воду бомбочку.",Франция
https://goldapple.ru/19000009365-arme-blanche,ARME BLANCHE,1524,5,"Все оттенки белого – в свежем аромате ARME BLANCHE, отражающем смелость, уверенность, сильный характер и свободу быть собой. Композиция от L’ATELIER PARFUM – словно изысканный и в то же время роскошный букет невесты, в котором собраны красивейшие белые цветы. Чарующие тубероза, жасмин и цветок апельсина, окутанные нежной дымкой мускуса, гармонируют с терпкой нотой нероли. Свежую и легкую, будто белое кружево, композицию украшают чувственный сандал и ветивер. Парфюмер – Alexis Dadier.",,Франция
https://goldapple.ru/19000015648-un-gardenia-la-nut-perfume-gun,Un Gardenia La Nut Perfume Gun ,21500,,"Летняя ночь на Ривьере, где молочная нежность и пряность цветов, благоухавшая днем, уступает место фруктовой свежести в сумерках. Perfume Gun - eдинственное оружие, созданное с любовью.
Яркая ароматная вспышка моментально наполняет пространство любимым ароматом. Роскошные ароматы замаскированы в бутылки, напоминающие очищающие средства для дома. Теперь сменить обстановку стало проще, чем сменить обои и даже переключить музыкальную пластинку. Одно движение – пистолет готов к применению. Простой в применении пульверизатор-курок обеспечивает оптимальное распыление и позволяет контролировать интенсивность аромата.
Рекомендован к использованию в просторных помещениях. Благодаря циркуляции воздуха мгновенно заполняет все пространство. Избегайте попадания на мягкую мебель, предметы интерьера, пластик и текстиль. Не распыляйте вблизи поверхностей, обработанных лакокрасочными покрытиями.","Рекомендован к использованию в просторных помещениях. Благодаря циркуляции воздуха мгновенно заполняет все пространство. Избегайте попадания на мягкую мебель, предметы интерьера, пластик и текстиль. Не распыляйте вблизи поверхностей, обработанных лакокрасочными покрытиями.",Франция
https://goldapple.ru/19000206592-green-garden,Green Garden,11354,,"Свежий цветочный аромат BIRKHOLZ переносит в зеленый и цветущий сад у элегантного замка. Атмосферу тёплого летнего вечера и изысканной вечеринки на открытом воздухе передают нежные ноты фрезии, жасмина и розы, окутанные зеленой свежестью бамбука. <br>
Волшебная обстановка сада, сияющие огоньки, изящные танцы и великолепные наряды – представить всё это помогает чарующая композиция, дополненная чувственным звучанием мускуса, сандала, амбры и туберозы.",Только для наружного применения.,Германия
https://goldapple.ru/19000122111-sovereign,Sovereign ,27060,,"Набор из 4 культовых ароматов коллекции Sovereign: Royal Sapphire, Diadem, Sceptre, Imperial Crown 4х10мл.",,Великобритания
https://goldapple.ru/19000133627-femme-magique,Femme Magique,5418,5,"Современный и чувственный аромат ANGEL SCHLESSER словно окружает волшебным, сияющим ореолом. 
<br/>Секрет его притягательной магии – в ярком сочетании цитрусовых, цветочных и фруктовых нот. Воспользоваться чарами соблазнения помогают сочная малина, чувственный ирис, нежная гардения и легкая сладость ванили. Женственный шлейф, сотканный из звучания белых цветов, восточных и древесных нот, манит за собой и обещает исполнение желаний. 
<br/>Аромат идеально подходит для женщин, уверенных в своих чарах и магнетизме, перед которым невозможно устоять. 
<br/>Классификация аромата: восточный ванильный. 
<br/>Парфюмер – Ane Ayo.",Только для наружного применения.,Италия
https://goldapple.ru/19000163485-dojou-for-her,Dojou for her,5418,,"Стихия этого гармоничного женского аромата ANNAYAKE – земля. Теплая, словно согретый солнцем песок, композиция DOJOU FOR HER мягко окутывает светом с первых нот.  <br><br>

Яркое вступление можжевельника, перца и бергамота уравновешивают фруктовое звучание черной смородины и цветочная чувственность иланг-иланга. В сердце аромата раскрывается нежное сияние флердоранжа и бархатистой мимозы, идеально дополненное мягкой нотой кашмерана. <br><br>

Чувственный шлейф с древесным и амбровым звучанием соткан из нот ветивера, сандала, соблазнительной амбры и тонкой сладости ванили.",Только для наружного применения.,Франция
https://goldapple.ru/19000117842-heliaca,Heliaca ,6580,4.3,"Яркий древесно-пряный аромат HELIACA, созданный в традициях высокой французской парфюмерии, раскрывает удивительную мощь благородного уда. 
<br/>Лёгкую остроту насыщенному древесному аккорду добавляет нота имбиря, а кардамон придает композиции приятную свежесть. Символ этого аромата LE COUVENT – орёл, его свободный полёт и удивительно острый, пронзительный взгляд, от которого не ускользает ничто. 
<br/>Завораживающая, дикая сила этой хищной птицы впечатляет, как и природная гипнотическая сила уда.",Только для наружного применения.,Франция
https://goldapple.ru/7431200001-yellow-diamond,Yellow Diamond ,4816,4.8,"Туалетная вода Versace Yellow Diamond — это яркий, роскошный аромат. В нем много чистых цветочных и древесных оттенков. Сначала парфюм Yellow Diamond окутывает свежестью лимона, сладостью нероли, утонченностью бергамота. Эти нотки пленительны, многообещающи. Но вскоре их сменяют нежность водяной лилии, волшебность апельсина, теплота фрезии. Напоследок вода от Versace дарит капельку древесных ароматов и мускуса. Они волнуют, пробуждают скрытые желания. Эту туалетную воду полюбят зрелые женщины, уверенные в собственной неотразимости, и юные красотки, пытающиеся свести с ума мужчин. Ведь ее аромат подчеркивает их исключительность.",,Италия
https://goldapple.ru/19000139474-bali-surya,BALI—SURYA,6435,,"Остров Бали славится не только своими прекрасными пляжами. Он известен как священное место,
где происходят духовные чудеса. Бали преображает людей, открывает их разум, освобождает от
суеты и соблазнов большого города... 
<br>Аромат от FIILIT PARFUM DU VOYAGE,посвященный
этому цветущему оазису спокойствия, называется SURYA - ""Солнце"". Это обонятельная сказка о
бирюзовых морских зорях, вулканах и водопадах. О белых цветках плюмерии в раскрытой ладони
Будды...
<br><br>SURYA – BALI – это волшебство настоящего парфюма, которое обязательно случится с вами.","Распылить на тело, избегая попадания в глаза",Франция
https://goldapple.ru/19760313195-wave,WAVE,4536,5,"Туалетная вода Missoni Wave – современный и мужественный аромат для молодого, харизматичного и уверенного в себе искателя приключений. Парфюмерная композиция будто соткана из морского бриза, свежести синих волн и итальянской чувственности. Пленительный и яркий аромат погружает в атмосферу Средиземноморья, отсылает к истории, традициям и пейзажам этого региона. Солнечные цитрусы, фантазийный аккорд морской свежести и ароматические ноты встречаются с элегантным древесным аккордом, создавая чувственное сочетание, которое напоминает о кристально чистой воде Средиземного моря.<br>
В сердце аромата переплетаются ноты египетской герани, мускатного шалфея, лаванды и розмарина.",Только для наружного применения,Италия
https://goldapple.ru/7192200017-miss-dior-blooming-bouquet,Miss Dior Blooming Bouquet,14900,,"Miss Dior Blooming Bouquet - это мгновенное удовольствие, признание в любви к жизни, которое вовлекает Вас.<br>
Появившись в 1947 году, Miss Dior исполнил мечту Кристиана Диора о создании средства от печали и тоски. С тех пор Miss Dior не изменил своего предназначения, он все также воплощает красоту и счастье.<br><br>

Туалетная вода Miss Dior Blooming Bouquet была создана словно цветочное прикосновение, одновременно чувственное и нежное. Это многогранный и неповторимый букет только что распустившихся цветов. Его контрастный шлейф вызывает ощущение подобное любви с первого взгляда, переданной в нотах полевых цветов и бергамота. <br><br>

Дуэт нот дамасской розы и пиона раскрывается благородством, подобно страстным и сияющим эмоциям. Мягкий, легкий аккорд белого мускуса завершает букет этого аромата, рассказывающего историю любви.<br><br>

Аромат Miss Dior Blooming Bouquet помещен во флакон в особенном стиле: бант Miss Dior, сотканный из тысячи разноцветных нитей, придает аромату кутюрный штрих. Этот необыкновенный жаккардовый бант, вдохновленный букетом из тысячи переливающихся цветов, был создан в мастерской одного из самых известных французских производителей лент: Maison Faure, основанной в 1864 году.<br><br>

Эта нежная и свежая туалетная вода также выпускается в формате роликовой жемчужины, которую удобно брать с собой.","Небольшое количество аромата аккуратно нанести на зону шеи, декольте, запястьев.",Франция
https://goldapple.ru/19000147641-vesper-glitz,VESPER GLITZ ,28900,,"Аромат Парижа после наступления темноты, где души свободно тают и расцветают в пылающем хаосе фантастических цветовых гамм.  
<br/>Красота аромата ночи, в котором  ноты жасмина и мимозы вплетаются в пьянящие амбровые ноты.",,Франция
https://goldapple.ru/19000206582-berlin-heaven,Berlin Heaven,10543,5,"Легкая и свежая композиция BIRKHOLZ переносит на утренний пикник под ясным небом в берлинском саду или парке. Отвлечься от сложных мыслей и насладиться весенней легкостью помогают ноты черной смородины, малины и сочной груши. <br>
Атмосферу теплого, беззаботного и приятного дня в Берлине также передаёт нежное звучание розы и ландыша, дополненное сладкой нотой личи. Аромат, окутывающий фруктовой свежестью, станет отличным вариантом на каждый день.",Только для наружного применения.,Германия
https://goldapple.ru/90151200002-black-pepper-amber-neroli,"Black Pepper, Vetiver, Neroli, Amber",6360,4.9,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.<br>
Эрез Розен <br><br>

Замысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов. <br><br>

Все ароматы Zielinski&Rozen категории унисекс.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,Россия
https://goldapple.ru/19000182883-tomorrowland,Tomorrowland,15067,,"Аромат свечи с нотами ландыша и мха перенесет вас в фантасмагорический мир Tomorrowland, отсылающий к легендарной сказке об эликсире жизни. <br>
Его дизайн, выполненный методом шелкографии в зеленых тонах, вдохновлен движением в стиле модерн как дань уважения природе, где растения и животные сливаются в совершенной гармонии.  <br>
Время горения 60 часов.",Использовать для ароматизации помещения.,Румыния
https://goldapple.ru/19760300407-601-vetiver-cedre-bergamote,"601 – vétiver, cèdre, bergamote",4700,4.4,"Ветивер, кедр, бергамот – три характерные ноты аромата 601 от Bon Parfumeur. При первой встрече он играет с цитрусами: яркостью бергамота и легкой горчинкой грейпфрута. Розовый перец добавляет немного пикантности, а базовая нота ветивера раскрывает древесную и землистую грани композиции. Цветочные ноты привносят в древесный аромат свежесть, словно ветер, играющий с волосами во время быстрой езды на машине. 
 
Верхние ноты: бергамот, розовый перец, грейпфрут. 
Ноты сердца: перец, фиалка. 
Базовые ноты: кедр, сандал, ветивер.",,Франция
https://goldapple.ru/19000133628-joyful-nashi-bloom,Joyful Nashi Bloom,5835,5,"Цветочно-фруктовый аромат ANGEL SCHLESSER пробуждает позитивные эмоции, расслабляет и вдохновляет. 
<br/>Яркая и светлая парфюмерная композиция раскрывает нежную красоту сочной груши «Наши». 
<br/>Этот необычный сорт внешне напоминает яблоко, но отличается свежим грушевым ароматом. Тонкую фруктовую сладость этой ноты дополняют цитрон и айва, а цветочные ноты гиацинта, жасмина и цветов груши делают композицию изысканной и нежной. Радостный и оптимистичный характер туалетной воды подчеркивают базовые ноты мускуса, кедра и амбры.
<br/>Классификация аромата: цветочный фруктовый. 
<br/>Парфюмер – Ane Ayo.",Только для наружного применения.,Италия
https://goldapple.ru/26424800008-signature-yuzu,Signature Yuzu,28440,,"Автографы Солнца. Превосходное выражение парфюмерного искусства, чьи выразительные оттенки происходят от света и ярких открытий. Ингредиенты, отобранные по всему миру за свою драгоценность, являют собой лейтмотив новой коллекции. Каждый из них выбран брендом из самых чистых эссенций, каждая из которых становится протагонистом аромата. Acqua di Parma пересматривает каждый ингредиент через призму Colonia, привнося свет и солнце в каждый аромат. Автографы солнца (Signatures of the Sun) – это словно вдох знакомого ингредиента вновь и вновь с новой душой.",,Италия
https://goldapple.ru/83290100002-neroli-a-la-cardamome-du-guatemala,Neroli a la Cardamome du Guatemala,18075,4.7,"Красивый чарующий аромат переплетается свежими нотами гватемальского кардамона и белыми чистыми цветочными оттенками нероли, завораживает французским шармом и переносит в праздничную атмосферу каннского фестиваля.
<br><br>
Аромат открывается свежими цитрусовыми нотами солнечного мандарина и древесно-аммориллисовым дымным запахом эфирного масла нероли (цветов горького апельсина), которые деликатно смешаны в сердце композиции с сочными, сладкими оттенками апельсина и горьковато-пряным аккордом гватемальского кардамона. <br><br>

Эфирное масло амбретты (семян гибискуса) насыщает шлейфовые ноты, придавая  парфюму чувственный мускусный запах,  гармонично оттененный бальзамически-терпкими аккордами светлой древесины.",Только для наружного применения.,Италия
https://goldapple.ru/19000165312-versense,Versense,5160,5,"Состав набора:<br>
Туалетная вода VERSACE ""VERSENSE"", 30 мл; <br>
Парфюмированный лосьон для тела VERSACE ""VERSENSE"", 50 мл.",,Италия
https://goldapple.ru/19000161927-sound-of-a-ricochet,Sound of a ricochet,29205,,"Аромат из коллекции «Кодо», посвященной искусству благовоний в древней Японии. Встреча абсолю ванили и бобов тонка, оттененная маслом сандалового дерева.

<br/>Хайку, посвященное Sound of a ricochet:
<br/>Красная стрекоза
<br/>На фоне пламенеющего неба
<br/>Звук рикошета","Парфюмерную воду следует наносить с расстояния 10-15 см. на тепловые точки: под коленями, область живота, запястья, сгибы локтей, район солнечного сплетения, точки за ушами, основание шеи со стороны спины, затылок. Как правило на одну точку достаточно один раз нажать на спрей. 
<br/>Растирать парфюмерную воду не рекомендуется, так как это может нарушить правильный процесс раскрытия композиции. 
<br/>Для повышения стойкости рекомендуем наносить на хорошо увлажненную кожу, комбинируя с кремом, молочком или маслом для тела.",Франция
https://goldapple.ru/28320100001-dark-forest,DARK FOREST,6839,4.4,"В таинственной тьме леса ваши чувства обостряются до предела. Сила зрения уступает главную роль обонянию, которое улавливает ноты свежего бергамота и терпкого имбиря. Они манят в глубину леса, где раскрывается чарующий и чувственный аромат ночи, объединивший медово-пряную сладость нероли и согревающую ваниль.",,Франция
https://goldapple.ru/19000007926-risque,Risque,27181,,"«Композиция Risqué отчасти непослушна, отчасти мила. Она очаровывает и покоряет сердца. В этой образцовой красавице можно обнаружить неожиданные грани, невидимые на первый взгляд. Начальные свежие фруктовые мотивы бергамота и персика в сочетании со сладостью розы и ромашки набрасывают первые штрихи этого живого характера, а шипровая гармония нот дубового мха и кедра дисциплинируют его и облекают в рамки благовоспитанности. И это только начало: постепенно томительное тепло аромата смешивается с нескромными нотками кожаного лабданума. Подобно тягучему, обольстительному взгляду, Risqué — это маленький порочный секрет, таящийся на коже. Этот аромат слегка кокетлив в начале и откровенен в конце. Никто не способен устоять перед его соблазнительной силой», — Роже Дав.",,США
https://goldapple.ru/19000105484-liquide,LIQUIDE ,18225,4.7,"С древних времен алхимики в разных странах мечтали превратить различные металлы в сияющее, ценное, благородное золото. 
<br/><br/>LIQUIDES IMAGINAIRES играет с парфюмерной «алхимией» и создаёт оригинальный аромат, воплощающий великолепие и блеск этого драгоценного металла в удивительном сочетании нот семян моркови, кориандра, жасмина, цветов апельсина и яркого, согревающего солнечного аккорда. 
<br/>Именно с солнцем алхимики сопоставляли золото, символизирующее для них совершенство, конечную цель и образ новой, лучшей жизни. <br/>Тёплое сияние композиции украшают ноты освежающего мандарина и пряного шафрана, известного как «красное золото».
<br/> Этот аромат – словно жидкое золото, магическую формулу которого дополняют ноты Georgywood и Ambrofix, чарующий мускус, нежность ванили, пачули и таинственное звучание ладанника. 
<br/>Парфюмер – Nisrine Grillie.",Только для наружного применения.,Франция
https://goldapple.ru/83670100003-aesthetic-turbulence,Aesthetic Turbulence,20475,,"Эстетический конфликт порождает искусство, трансформирует реальность в красоту, не допускает фальшивых нот. Постоянный поиск совершенства вдохновил на создание магической формулы Aesthetic Turbulence. Чарующий цветочно-пряный аромат объединил ноты бессмертника, зеленого чая, жасмина, красного перца и лабданума, став частью легенды бренда State of Mind. Он воплощает одновременно сильный характер и искушение, смелость и обаяние. 
<p>
Верхние ноты: чай Улун, мандарин, зеленый чай
<p>
Ноты сердца: жасмин, бессмертник, красный перец
<p>
Базовые ноты: лакричник, лабданум",,Франция
https://goldapple.ru/26375300002-lost-cherry,Lost Cherry,46665,4.6,"Сладость. Соблазн. Неутолимое желание. Lost Cherry — насыщенный аромат, открывающий двери в некогда запретный мир. Его соблазнительная двойственность основана на контрасте игривой, блестящей и гладкой изнанки с сочной мякотью внутри», — Том Форд. Насыщенный и изысканный амбровый аромат Lost Cherry пронизан контрастами. Он переносит нас в место, где невинность пересекается с наслаждением, а сладость встречается с соблазном. Lost Cherry пробуждает неутолимое желание и будоражит фантазию, завершаясь величественным насыщенным шлейфом из чувственных нот перуанского бальзама, обжаренных бобов тонка, сандалового дерева, ветивера и кедра. Основные ноты: Черешня, масло горького миндаля, сироп из вишни «гриот», турецкая роза, перуанский бальзам и обжаренные бобы тонка.",,США
https://goldapple.ru/19000109664-up-to-the-moon,Up to the Moon ,19800,,"Аромат Up to the Moon раскрывает высокие, звонкие ноты сопрано Нино Мачаидзе, одной из самых выдающихся певиц мировой оперной сцены. Целое созвездие парфюмеров трудилось, чтобы наиболее полно передать в аромате чарующие оттенки её голоса. Накал эмоций и страсти, чувственности и нежности воплотились в ключевом аккорде – главном герое всей композиции.<br><br>

«Up to the Moon» - буря чувств, которая нас захватывает, когда  мы слышим голос  Нино: красивый, чувственный, решительный и пленяющий. Нота малины подчеркивает его жизненную силу, а наш эксклюзивный ароматный аккорд  Pear Breeze (грушевый бриз) добавляет сочных фруктовых красок. Амбра, амбретта и ваниль делают базовые ноты столь стойкими и насыщенными, как оглушительные, длительные овации.
Компоненты",Нанести на пульсирующие точки,Италия
https://goldapple.ru/19000011565-atelier-versace-gingembre-petillant,ATELIER VERSACE GINGEMBRE PETILLANT,24585,5,"Искрящаяся и чувственная композиция GINGEMBRE PETILLANT из коллекции ATELIER VERSACE построена на ярких контрастах. Насыщенное звучание лаосского красного имбиря и корицы смягчают нежные ноты белых цветов. Пряную мускусную композицию дополняет сладкий аккорд пралине, окутанный теплой дымкой ванили. На создание композиции вдохновила традиционная ближневосточная парфюмерия, её тонкости и уникальный характер. Парфюмер – Хорди Фернандез. 
 <p>
Основные ноты: красный имбирь, корица 
<p>
Классификация аромата: пряный мускусный",,Италия
